,index,Year,Zip_Code,Number_of_Asthma_ED_Visits,Age_Adjusted_Rate_of_Asthma_ED_V,Age_Group,County,Daily Max 8-hour Ozone Concentration,DAILY_AQI_VALUE_ozone,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE
76,76,2018,92509,222,38.2,18+,Riverside,0.05203399433427765,62.169971671388105,12.978977272727274,48.137310606060616
77,77,2018,92509,324,39.7,All Ages,Riverside,0.05203399433427765,62.169971671388105,12.978977272727274,48.137310606060616
78,78,2018,92530,113,70.2,0-17,Riverside,0.05137175792507204,56.80115273775216,6.829881656804733,27.576923076923077
79,79,2018,92530,167,39.2,18+,Riverside,0.05137175792507204,56.80115273775216,6.829881656804733,27.576923076923077
80,80,2018,92530,280,47.2,All Ages,Riverside,0.05137175792507204,56.80115273775216,6.829881656804733,27.576923076923077
81,81,2018,92570,90,50.6,0-17,Riverside,0.054320334261838445,66.43454038997214,,
82,82,2018,92570,193,45.6,18+,Riverside,0.054320334261838445,66.43454038997214,,
83,83,2018,92570,283,46.9,All Ages,Riverside,0.054320334261838445,66.43454038997214,,
84,84,2018,92592,89,41.2,0-17,Riverside,0.04758412698412697,47.10793650793651,6.583582089552238,26.234452736318406
85,85,2018,92592,108,19.4,18+,Riverside,0.04758412698412697,47.10793650793651,6.583582089552238,26.234452736318406
86,86,2018,92592,197,25.1,All Ages,Riverside,0.04758412698412697,47.10793650793651,6.583582089552238,26.234452736318406
87,87,2018,92691,27,30.1,0-17,Orange,0.04686968838526915,46.580736543909346,8.225471698113205,33.339622641509436
88,88,2018,92691,59,14.1,18+,Orange,0.04686968838526915,46.580736543909346,8.225471698113205,33.339622641509436
89,89,2018,92691,86,18.2,All Ages,Orange,0.04686968838526915,46.580736543909346,8.225471698113205,33.339622641509436
90,90,2018,92802,78,62.8,0-17,Orange,0.04116343490304707,38.93628808864266,11.739889196675893,44.235457063711905
91,91,2018,92802,122,36.2,18+,Orange,0.04116343490304707,38.93628808864266,11.739889196675893,44.235457063711905
92,92,2018,92802,200,43.0,All Ages,Orange,0.04116343490304707,38.93628808864266,11.739889196675893,44.235457063711905
93,93,2018,93036,82,58.6,0-17,Ventura,0.039802777777777784,36.93888888888889,8.335362318840575,33.289855072463766
94,94,2018,93036,86,24.7,18+,Ventura,0.039802777777777784,36.93888888888889,8.335362318840575,33.289855072463766
95,95,2018,93036,168,33.4,All Ages,Ventura,0.039802777777777784,36.93888888888889,8.335362318840575,33.289855072463766
96,96,2018,93063,63,50.9,0-17,Ventura,0.049180055401662086,51.21606648199446,8.466853932584272,33.68539325842696
97,97,2018,93063,144,33.4,18+,Ventura,0.049180055401662086,51.21606648199446,8.466853932584272,33.68539325842696
98,98,2018,93063,207,37.9,All Ages,Ventura,0.049180055401662086,51.21606648199446,8.466853932584272,33.68539325842696
99,99,2018,93535,389,168.6,0-17,Los Angeles,0.05184900284900276,59.46153846153846,7.262427745664734,29.546242774566473
100,100,2018,93535,468,87.9,18+,Los Angeles,0.05184900284900276,59.46153846153846,7.262427745664734,29.546242774566473
101,101,2018,93535,857,108.7,All Ages,Los Angeles,0.05184900284900276,59.46153846153846,7.262427745664734,29.546242774566473
102,102,2018,92230,26,118.3,18+,Riverside,0.056130681818181836,67.77556818181819,8.643274853801172,33.81578947368421
103,103,2018,92230,29,97.9,All Ages,Riverside,0.056130681818181836,67.77556818181819,8.643274853801172,33.81578947368421
104,104,2018,93023,30,18.2,18+,Ventura,0.045683473389355744,44.28291316526611,10.16943620178041,40.97922848664688
105,105,2018,93023,41,20.7,All Ages,Ventura,0.045683473389355744,44.28291316526611,10.16943620178041,40.97922848664688
106,106,2018,90293,12,19.8,All Ages,Los Angeles,0.04186918604651159,39.10174418604651,,
107,107,2018,92401,51,294.2,All Ages,San Bernardino,0.056928977272727284,74.63068181818181,11.190090090090091,43.34234234234234
108,108,2017,90012,13,37.2,0-17,Los Angeles,0.04402586206896552,45.189655172413794,13.986101532567046,51.419204980842906
109,109,2017,90012,71,23.8,18+,Los Angeles,0.04402586206896552,45.189655172413794,13.986101532567046,51.419204980842906
110,110,2017,90012,84,27.3,All Ages,Los Angeles,0.04402586206896552,45.189655172413794,13.986101532567046,51.419204980842906
111,111,2017,90221,212,117.5,0-17,Los Angeles,0.04191071428571425,40.63392857142857,12.425454545454539,46.58181818181818
112,112,2017,90221,240,62.0,18+,Los Angeles,0.04191071428571425,40.63392857142857,12.425454545454539,46.58181818181818
113,113,2017,90221,452,76.3,All Ages,Los Angeles,0.04191071428571425,40.63392857142857,12.425454545454539,46.58181818181818
114,114,2017,90660,132,81.3,0-17,Los Angeles,0.04198813056379822,42.367952522255194,12.029545454545454,46.35
115,115,2017,90660,176,35.3,18+,Los Angeles,0.04198813056379822,42.367952522255194,12.029545454545454,46.35
116,116,2017,90660,308,47.2,All Ages,Los Angeles,0.04198813056379822,42.367952522255194,12.029545454545454,46.35
117,117,2017,90810,101,99.3,0-17,Los Angeles,0.03544252873563217,33.1867816091954,,
118,118,2017,90810,146,51.4,18+,Los Angeles,0.03544252873563217,33.1867816091954,,
119,119,2017,90810,247,63.7,All Ages,Los Angeles,0.03544252873563217,33.1867816091954,,
120,120,2017,91106,15,39.6,0-17,Los Angeles,0.04993142857142857,56.034285714285716,9.740170940170941,38.927350427350426
121,121,2017,91106,33,16.4,18+,Los Angeles,0.04993142857142857,56.034285714285716,9.740170940170941,38.927350427350426
122,122,2017,91106,48,22.4,All Ages,Los Angeles,0.04993142857142857,56.034285714285716,9.740170940170941,38.927350427350426
123,123,2017,91321,52,56.0,0-17,Los Angeles,0.05469859154929576,67.69577464788732,10.19710982658959,39.34971098265896
124,124,2017,91321,67,23.1,18+,Los Angeles,0.05469859154929576,67.69577464788732,10.19710982658959,39.34971098265896
125,125,2017,91321,119,31.6,All Ages,Los Angeles,0.05469859154929576,67.69577464788732,10.19710982658959,39.34971098265896
126,126,2017,91335,172,100.7,0-17,Los Angeles,0.05510919540229888,66.566091954023,15.62470760233918,55.85672514619883
127,127,2017,91335,294,48.3,18+,Los Angeles,0.05510919540229888,66.566091954023,15.62470760233918,55.85672514619883
128,128,2017,91335,466,61.8,All Ages,Los Angeles,0.05510919540229888,66.566091954023,15.62470760233918,55.85672514619883
129,129,2017,91360,25,30.5,0-17,Ventura,0.04646408839779006,45.56353591160221,8.929096045197737,35.79661016949152
