,Year,Zip_Code,Number_of_Asthma_ED_Visits,Age_Adjusted_Rate_of_Asthma_ED_V,Age_Group,county
0,2018,90001,192,95.2,0-17,Los Angeles
1,2018,90002,248,135.1,0-17,Los Angeles
2,2018,90003,317,131.8,0-17,Los Angeles
3,2018,90004,113,85.6,0-17,Los Angeles
4,2018,90005,54,59.0,0-17,Los Angeles
5,2018,90006,120,82.2,0-17,Los Angeles
6,2018,90007,81,111.4,0-17,Los Angeles
7,2018,90008,115,152.2,0-17,Los Angeles
8,2018,90011,355,95.8,0-17,Los Angeles
9,2018,90012,14,36.6,0-17,Los Angeles
10,2018,90015,45,90.3,0-17,Los Angeles
11,2018,90016,116,100.5,0-17,Los Angeles
12,2018,90017,51,74.9,0-17,Los Angeles
13,2018,90018,164,127.5,0-17,Los Angeles
14,2018,90019,98,72.9,0-17,Los Angeles
15,2018,90020,57,75.5,0-17,Los Angeles
16,2018,90022,179,90.5,0-17,Los Angeles
17,2018,90023,100,66.2,0-17,Los Angeles
18,2018,90024,14,39.5,0-17,Los Angeles
19,2018,90025,23,39.7,0-17,Los Angeles
20,2018,90026,131,97.7,0-17,Los Angeles
21,2018,90027,39,71.4,0-17,Los Angeles
22,2018,90028,19,66.7,0-17,Los Angeles
23,2018,90029,85,111.3,0-17,Los Angeles
24,2018,90031,67,65.6,0-17,Los Angeles
25,2018,90032,90,77.1,0-17,Los Angeles
26,2018,90033,128,89.7,0-17,Los Angeles
27,2018,90034,38,38.1,0-17,Los Angeles
28,2018,90035,21,34.9,0-17,Los Angeles
29,2018,90036,22,34.5,0-17,Los Angeles
30,2018,90037,246,131.4,0-17,Los Angeles
31,2018,90038,36,66.4,0-17,Los Angeles
32,2018,90039,39,76.5,0-17,Los Angeles
33,2018,90040,35,101.9,0-17,Los Angeles
34,2018,90041,29,58.6,0-17,Los Angeles
35,2018,90042,73,47.8,0-17,Los Angeles
36,2018,90043,194,192.0,0-17,Los Angeles
37,2018,90044,412,144.5,0-17,Los Angeles
38,2018,90045,28,38.1,0-17,Los Angeles
39,2018,90046,13,30.5,0-17,Los Angeles
40,2018,90047,185,155.4,0-17,Los Angeles
41,2018,90049,12,20.4,0-17,Los Angeles
42,2018,90057,99,93.2,0-17,Los Angeles
43,2018,90059,245,164.5,0-17,Los Angeles
44,2018,90061,134,159.1,0-17,Los Angeles
45,2018,90062,140,161.1,0-17,Los Angeles
46,2018,90063,130,76.2,0-17,Los Angeles
47,2018,90064,22,43.5,0-17,Los Angeles
48,2018,90065,72,67.7,0-17,Los Angeles
49,2018,90066,34,33.3,0-17,Los Angeles
50,2018,90201,241,74.8,0-17,Los Angeles
51,2018,90220,178,119.3,0-17,Los Angeles
52,2018,90221,176,96.9,0-17,Los Angeles
53,2018,90222,135,133.5,0-17,Los Angeles
54,2018,90230,43,64.5,0-17,Los Angeles
55,2018,90232,12,42.7,0-17,Los Angeles
56,2018,90240,28,46.8,0-17,Los Angeles
57,2018,90241,61,56.5,0-17,Los Angeles
58,2018,90242,66,57.8,0-17,Los Angeles
59,2018,90245,13,42.2,0-17,Los Angeles
60,2018,90247,98,84.6,0-17,Los Angeles
61,2018,90248,21,99.4,0-17,Los Angeles
62,2018,90249,60,96.7,0-17,Los Angeles
63,2018,90250,218,86.9,0-17,Los Angeles
64,2018,90255,140,62.4,0-17,Los Angeles
65,2018,90260,76,84.6,0-17,Los Angeles
66,2018,90262,189,84.4,0-17,Los Angeles
67,2018,90266,14,18.7,0-17,Los Angeles
68,2018,90270,45,51.3,0-17,Los Angeles
69,2018,90275,14,20.6,0-17,Los Angeles
70,2018,90277,21,38.2,0-17,Los Angeles
71,2018,90278,33,35.0,0-17,Los Angeles
72,2018,90280,170,59.9,0-17,Los Angeles
73,2018,90291,13,32.4,0-17,Los Angeles
74,2018,90301,100,106.0,0-17,Los Angeles
75,2018,90302,64,86.3,0-17,Los Angeles
76,2018,90303,71,100.3,0-17,Los Angeles
77,2018,90304,62,67.9,0-17,Los Angeles
78,2018,90305,47,163.9,0-17,Los Angeles
79,2018,90403,12,35.9,0-17,Los Angeles
80,2018,90404,23,78.7,0-17,Los Angeles
81,2018,90405,14,37.1,0-17,Los Angeles
82,2018,90501,76,74.0,0-17,Los Angeles
83,2018,90502,39,103.8,0-17,Los Angeles
84,2018,90503,34,39.0,0-17,Los Angeles
